timestep,left_hip_pitch_joint_pos_diff,left_hip_roll_joint_pos_diff,left_hip_yaw_joint_pos_diff,left_knee_pitch_joint_pos_diff,left_ankle_pitch_joint_pos_diff,left_ankle_roll_joint_pos_diff,left_shoulder_pitch_joint_pos_diff,right_hip_pitch_joint_pos_diff,right_hip_roll_joint_pos_diff,right_hip_yaw_joint_pos_diff,right_knee_pitch_joint_pos_diff,right_ankle_pitch_joint_pos_diff,right_ankle_roll_joint_pos_diff,right_shoulder_pitch_joint_pos_diff,left_hip_pitch_joint_vel,left_hip_roll_joint_vel,left_hip_yaw_joint_vel,left_knee_pitch_joint_vel,left_ankle_pitch_joint_vel,left_ankle_roll_joint_vel,left_shoulder_pitch_joint_vel,right_hip_pitch_joint_vel,right_hip_roll_joint_vel,right_hip_yaw_joint_vel,right_knee_pitch_joint_vel,right_ankle_pitch_joint_vel,right_ankle_roll_joint_vel,right_shoulder_pitch_joint_vel,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,base_euler_x,base_euler_y,base_euler_z,left_hip_pitch_joint_action,left_hip_roll_joint_action,left_hip_yaw_joint_action,left_knee_pitch_joint_action,left_ankle_pitch_joint_action,left_ankle_roll_joint_action,left_shoulder_pitch_joint_action,right_hip_pitch_joint_action,right_hip_roll_joint_action,right_hip_yaw_joint_action,right_knee_pitch_joint_action,right_ankle_pitch_joint_action,right_ankle_roll_joint_action,right_shoulder_pitch_joint_action
0,0.221943,0.116919,-0.176759,0.487448,-0.160444,-0.022358,-0.058823,-0.086375,0.064477,-0.065614,0.001552,0.035960,-0.154829,-0.118265,0.125050,0.024089,-0.035444,0.121981,-0.038780,0.013744,0.039740,0.079326,-0.006905,-0.008746,-0.008746,-0.108145,0.255269,-0.022555,0.195331,-0.026923,-0.729078,0.034008,0.031272,0.249502,1.311901,0.541640,-0.492370,1.261968,-0.331268,0.055242,0.259974,0.452975,1.099719,0.014093,-0.323870,0.051044,-0.726680,-0.279225
1,0.247062,0.124397,-0.174266,0.508158,-0.166579,-0.018452,-0.050002,-0.070652,0.065819,-0.065230,-0.001516,0.011997,-0.108512,-0.121333,0.126584,0.041274,0.034830,0.114923,-0.032288,0.030312,0.044650,0.076871,0.013963,0.010280,-0.018566,-0.109613,0.233852,-0.016724,0.418297,-0.513871,-0.801052,0.037388,0.028639,0.242256,1.381350,0.467529,-0.550037,1.069965,-0.232368,0.114216,0.130775,-0.099856,0.535166,-0.327366,-0.460151,-0.172634,-0.621041,-0.013190
2,0.273140,0.132642,-0.165829,0.533085,-0.170678,-0.012024,-0.039264,-0.056271,0.072147,-0.062162,-0.006309,-0.009196,-0.079157,-0.124401,0.132108,0.040354,0.033602,0.112468,-0.020800,0.036181,0.059380,0.069199,0.037285,0.005984,-0.023783,-0.119171,0.071452,-0.018873,0.177321,-0.224151,-0.804948,0.039081,0.024313,0.233262,1.251135,0.493123,-0.576784,1.069012,-0.190744,0.088197,0.117999,0.210370,0.600349,-0.367712,-0.364637,-0.151585,-0.604668,-0.042430
3,0.299027,0.138970,-0.166404,0.554178,-0.174743,-0.001648,-0.026033,-0.044382,0.076749,-0.068298,-0.007459,-0.029652,-0.094110,-0.132839,0.130574,0.028079,-0.027158,0.102342,-0.011535,0.039765,0.062141,0.057231,0.012735,-0.058766,0.003222,-0.085487,-0.121998,-0.050787,-0.411580,-0.657983,-0.812820,0.038512,0.021185,0.226594,1.091097,0.177974,-0.654361,1.000262,-0.036469,0.042193,-0.106048,-0.439847,1.310061,-0.175984,-0.698858,-0.461602,-0.726449,0.136944
4,0.325296,0.142997,-0.186346,0.572778,-0.172724,0.003258,-0.016829,-0.033836,0.075982,-0.095527,-0.001707,-0.035041,-0.118453,-0.141084,0.131187,0.017031,-0.113082,0.086077,-0.000385,0.049260,0.041274,0.052015,-0.007211,-0.160647,0.034830,-0.015665,-0.122746,-0.033909,-0.982582,-0.648062,0.685703,0.030174,0.012108,0.225362,0.493311,0.038031,-0.526503,1.147656,-0.142687,0.060588,0.410250,-0.959643,1.663330,0.689276,-1.142036,-0.664355,-0.924418,-0.541162
5,0.351950,0.146065,-0.206480,0.587350,-0.172697,0.015727,-0.009734,-0.023673,0.073681,-0.130234,0.005963,-0.030370,-0.132909,-0.144343,0.133949,0.016111,-0.087612,0.068586,0.014531,0.046434,0.037285,0.050787,-0.011201,-0.167398,0.036057,0.025566,-0.054102,-0.010587,-0.371466,0.135529,0.534095,0.022651,0.006555,0.232374,1.103925,0.640239,-0.427865,1.191549,-0.052100,0.050831,-0.021370,0.614452,1.664803,0.126921,-0.705366,-0.520179,-0.866123,-0.226714
6,0.378220,0.149516,-0.214150,0.597897,-0.166550,0.022752,0.000237,-0.014660,0.073106,-0.151135,0.010948,-0.032531,-0.142086,-0.145302,0.127812,0.019486,-0.022555,0.056004,0.031507,0.035767,0.049560,0.041274,0.003529,-0.067665,0.022248,-0.009195,0.005983,-0.009360,-0.107217,0.059219,0.320651,0.020914,0.009955,0.237336,1.174476,0.438201,-0.368882,1.235273,-0.252688,0.042498,0.477771,0.387901,1.132801,0.287558,-0.652828,-0.391123,-0.827370,-0.608053
7,0.401422,0.154310,-0.215684,0.608251,-0.160448,0.029392,0.010591,-0.008141,0.076174,-0.150176,0.011907,-0.038743,-0.135228,-0.147411,0.110627,0.023783,-0.001995,0.043115,0.047586,0.021458,0.049867,0.029613,0.018566,0.026544,-0.002915,-0.059542,0.028847,-0.009666,0.011100,-0.177311,0.261407,0.020811,0.009796,0.239769,1.290788,0.472969,-0.431458,1.126229,-0.180192,0.084741,0.225392,0.238582,1.014478,-0.048193,-0.663835,-0.628009,-0.765944,-0.261376
8,0.421172,0.158529,-0.214150,0.614579,-0.148185,0.030182,0.018261,-0.002964,0.081351,-0.142506,0.009798,-0.057609,-0.122644,-0.149712,0.095283,0.020714,0.011508,0.033295,0.058870,0.007780,0.033295,0.025931,0.028386,0.034830,-0.014883,-0.109887,0.068802,-0.013349,-0.143478,0.226759,-0.016588,0.017619,0.009533,0.240881,1.102602,0.363041,-0.581665,1.081002,-0.145784,0.033277,0.226648,0.505007,1.513642,0.340538,-0.548797,-0.465584,-0.850954,-0.364276
9,0.439005,0.162172,-0.211466,0.620331,-0.138013,0.030402,0.023822,0.002022,0.085761,-0.141356,0.007688,-0.076605,-0.108917,-0.152589,0.086077,0.016418,0.013963,0.022555,0.063519,-0.004381,0.027158,0.025624,0.016418,-0.010587,-0.002915,-0.097503,0.081915,-0.015190,0.064558,-0.008996,-0.117811,0.017574,0.012271,0.240542,1.237389,0.261329,-0.686291,0.884288,-0.049512,0.053481,0.145880,0.128713,1.304104,0.264095,-0.658956,-0.449342,-0.759080,-0.262626
